accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
0.02, -0.07, 1.00, 0.73, -3.11, 0.30, 0.20, 0.00, 0.41, 37263
0.03, -0.07, 1.03, -0.91, -1.59, 2.38, 0.21, -0.00, 0.42, 37273
-0.01, -0.08, 1.00, -1.46, -0.24, 4.02, 0.21, -0.00, 0.42, 37283
-0.03, -0.08, 0.98, 2.62, 5.61, 4.39, 0.21, -0.00, 0.42, 37293
-0.07, -0.08, 1.02, 8.29, 9.76, 4.88, 0.20, -0.00, 0.42, 37303
-0.13, -0.08, 1.08, 12.13, 17.62, 4.63, 0.20, -0.00, 0.42, 37313
-0.18, -0.10, 1.18, 14.82, 24.27, 2.26, 0.21, -0.00, 0.42, 37323
-0.19, -0.12, 1.27, 14.39, 29.45, -2.07, 0.21, -0.01, 0.42, 37333
-0.15, -0.14, 1.37, 10.98, 31.04, -6.16, 0.21, -0.01, 0.42, 37343
-0.10, -0.16, 1.45, 4.51, 32.26, -9.33, 0.22, -0.00, 0.42, 37353
0.00, -0.17, 1.52, -6.59, 32.13, -9.94, 0.21, 0.00, 0.41, 37363
0.06, -0.14, 1.49, -21.16, 31.04, -5.49, 0.22, 0.00, 0.41, 37373
0.03, -0.12, 1.33, -30.61, 33.60, 1.10, 0.22, -0.00, 0.42, 37383
-0.08, -0.08, 1.20, -33.23, 36.16, 5.37, 0.23, 0.00, 0.42, 37393
-0.20, -0.07, 1.10, -33.66, 39.51, 4.15, 0.23, 0.00, 0.42, 37403
-0.26, -0.05, 1.03, -32.62, 38.41, -2.01, 0.23, 0.01, 0.42, 37413
-0.29, -0.03, 0.98, -32.80, 32.50, -9.45, 0.23, 0.01, 0.42, 37423
-0.28, -0.05, 0.95, -35.06, 30.30, -20.18, 0.23, 0.02, 0.42, 37433
-0.12, -0.03, 0.89, -40.67, 29.27, -28.48, 0.24, 0.02, 0.42, 37443
0.09, -0.02, 0.72, -41.95, 34.82, -25.79, 0.24, 0.02, 0.42, 37453
0.23, 0.02, 0.60, -40.30, 33.17, -15.30, 0.24, 0.03, 0.42, 37463
0.19, 0.02, 0.42, -36.34, 27.50, -3.17, 0.24, 0.03, 0.42, 37473
0.07, 0.03, 0.26, -21.95, 16.59, 5.67, 0.24, 0.03, 0.42, 37483
-0.10, 0.03, 0.21, -3.48, 6.28, 6.77, 0.25, 0.03, 0.42, 37493
-0.19, 0.04, 0.29, 11.83, -6.34, -0.91, 0.25, 0.03, 0.42, 37503
-0.12, 0.04, 0.35, 20.37, -18.29, -9.09, 0.24, 0.02, 0.42, 37513
-0.06, 0.02, 0.42, 26.46, -25.91, -12.99, 0.24, 0.02, 0.42, 37523
0.01, 0.00, 0.47, 30.85, -33.23, -15.61, 0.23, 0.03, 0.42, 37533
0.10, -0.02, 0.55, 38.78, -38.48, -13.90, 0.23, 0.02, 0.42, 37543
0.15, -0.02, 0.70, 43.60, -43.05, -9.02, 0.23, 0.02, 0.42, 37553
